distance,elevation
0.0,106.30243255678297
14.709663321869112,98.71055905502966
29.419326643738223,104.07932697431073
44.12898996560733,101.69097150230019
58.83865328747645,101.20688631434729
73.54831660934556,112.42046544499377
88.25797993121466,105.64515611780038
102.96764325308378,114.49398050653028
117.6773065749529,110.27030735112609
132.386969896822,107.9119504140841
147.09663321869112,117.4318119257434
161.80629654056023,113.2924934015272
176.51595986242933,115.32180009638638
191.22562318429846,119.09876973526372
205.93528650616756,119.10085905919853
220.6449498280367,121.12869788342124
235.3546131499058,121.57548457948263
250.0642764717749,126.6554814272662
264.773939793644,122.70170243447551
279.4836031155131,119.44811580950676
294.19326643738225,130.02094607338768
308.9029297592513,134.28785473961852
323.61259308112045,130.2244282366825
338.3222564029896,128.55116691860331
353.03191972485865,128.22672953088727
367.7415830467278,137.26806820481596
382.4512463685969,144.02145058497103
397.16090969046604,136.09892079906535
411.8705730123351,131.80092019928645
426.58023633420424,136.68945739308177
441.2898996560734,132.90275424679191
455.99956297794245,142.96264940812532
470.7092262998116,138.31182401966606
485.4188896216807,136.41614274664136
500.1285529435498,149.65763385039614
514.838216265419,132.99582191208708
529.547879587288,148.65945693053283
544.2575429091571,141.48576673880433
558.9672062310262,141.24225812093644
573.6768695528954,156.268725066571
588.3865328747645,149.41867539970661
603.0961961966336,145.05812139223147
617.8058595185026,146.06639160102702
632.5155228403718,142.16114761211622
647.2251861622409,155.85055099878198
661.93484948411,141.96137829651178
676.6445128059792,151.15841620885564
691.3541761278483,154.44862437532572
706.0638394497173,145.1819596723388
720.7735027715864,144.73751789353088
735.4831660934556,151.8495263358949
750.1928294153247,140.92200565324703
764.9024927371938,145.45634435673912
779.612156059063,144.91733695758904
794.3218193809321,146.02712367664165
809.0314827028011,155.45251395968813
823.7411460246702,149.94985734975685
838.4508093465394,148.65994283919238
853.1604726684085,148.86766049648466
867.8701359902776,145.38362411641734
882.5797993121467,140.41368491050517
897.2894626340158,151.0692843770793
911.9991259558849,146.24850646533204
926.708789277754,152.01982643878992
941.4184525996232,146.76040751235476
956.1281159214923,150.3418843477669
970.8377792433614,146.8767008183866
985.5474425652305,151.15038085538924
1000.2571058870996,148.64860125508508
1014.9667692089687,145.14314936568755
1029.676432530838,147.66807048338285
1044.3860958527068,150.5799225817089
1059.095759174576,141.05018695031887
1073.805422496445,148.4279547136717
1088.5150858183142,137.7797560385149
1103.2247491401833,139.66080319905555
1117.9344124620525,136.48841149865396
1132.6440757839216,142.32682514215057
1147.3537391057907,135.94438253539232
1162.0634024276599,133.72162744464322
1176.773065749529,134.20088005272913
1191.4827290713981,133.60597943716462
1206.1923923932673,124.39328992534449
1220.9020557151364,136.24994739441786
1235.6117190370053,132.3423102043982
1250.3213823588744,130.2853104667576
1265.0310456807435,131.99022320875596
1279.7407090026127,126.8735543161661
1294.4503723244818,123.96918439246267
1309.160035646351,129.26470803469752
1323.86969896822,123.5052645367103
1338.5793622900892,126.28072331100992
1353.2890256119583,125.68104387858004
1367.9986889338275,121.56443240799683
1382.7083522556966,120.7240597109079
1397.4180155775657,121.2670450328061
1412.1276788994346,109.20107492921419
1426.8373422213037,111.77491941441876
1441.5470055431729,117.8214997499708
1456.256668865042,108.55468673178552
